Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	274.839900000	274.887687300	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	274.839900	22157.20000	26337.80000
2	Spectrogram 1	1	780.076300000	780.132775900	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.076300	36789.30000	40133.80000
3	Spectrogram 1	1	780.208200000	780.248960400	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.208200	35953.20000	42032.95700
4	Spectrogram 1	1	780.343400000	780.423769500	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.343400	38043.50000	43521.60300
5	Spectrogram 1	1	780.504200000	780.604685900	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.504200	33026.80000	39427.82700
7	Spectrogram 1	1	3804.086560000	3804.099461000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	343.130400	61482.10000	67996.70000
8	Spectrogram 1	1	3819.662760000	3819.687487000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	358.706600	61889.30000	82654.70000
9	Spectrogram 1	1	3942.516160000	3942.540888000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	481.560000	52046.30000	63612.10000
10	Spectrogram 1	1	3952.741560000	3952.763062000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	491.785400	44979.10000	54393.30000
11	Spectrogram 1	1	4040.234860000	4040.311193000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	579.278700	61192.50000	74267.80000
12	Spectrogram 1	1	4068.388460000	4068.404587000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	607.432300	64759.00000	75301.20000
13	Spectrogram 1	1	4072.222260000	4072.245912000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	611.266100	63755.00000	71285.10000
14	Spectrogram 1	1	4192.193260000	4192.240565000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	731.237100	53714.90000	66265.10000
15	Spectrogram 1	1	4224.759560000	4224.783213000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	763.803400	55722.90000	63253.00000
16	Spectrogram 1	1	4340.066760000	4340.106539000	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	879.110600	64257.00000	88353.40000
20	Spectrogram 1	1	4385.068990000	4386.105469000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	7.460800	20909.10000	25000.00000
21	Spectrogram 1	1	4386.250190000	4387.310013000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	8.642000	20454.50000	25000.00000
22	Spectrogram 1	1	4387.471090000	4388.498231000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	9.862900	20909.10000	25454.50000
23	Spectrogram 1	1	4388.631290000	4389.653763000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	11.023100	20909.10000	25454.50000
26	Spectrogram 1	1	4396.934790000	4398.116003000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	19.326600	20454.50000	25000.00000
27	Spectrogram 1	1	4398.263090000	4398.508203000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	20.654900	21363.60000	25000.00000
30	Spectrogram 1	1	4404.290490000	4405.389998000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	26.682300	20909.10000	25454.50000
