Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	44.582609205	44.593581432	47402.6	56818.2
2	Spectrogram 1	1	53.876339361	53.897500085	54220.8	62337.7
3	Spectrogram 1	1	56.986061631	57.010749141	48376.6	55844.2
4	Spectrogram 1	1	58.220545773	58.241314631	50000.0	62662.3
5	Spectrogram 1	1	60.073363191	60.104320546	49350.6	61688.3
6	Spectrogram 1	1	61.057137964	61.121795730	32792.2	41883.1
7	Spectrogram 1	1	61.418437723	61.439206581	52597.4	60064.9
8	Spectrogram 1	1	61.939504028	61.973204440	49350.6	58116.9
9	Spectrogram 1	1	62.871721368	62.910516028	48051.9	61688.3
10	Spectrogram 1	1	71.538020957	71.577207482	49350.6	62987.0
11	Spectrogram 1	1	75.148601319	75.163492198	49350.6	58441.6
12	Spectrogram 1	1	76.029008056	76.067802716	48051.9	57467.5
13	Spectrogram 1	1	78.091388993	78.131359248	43831.2	62013.0
14	Spectrogram 1	1	78.121170751	78.149385049	62337.7	81818.2
15	Spectrogram 1	1	83.836760971	83.857137964	57142.9	63636.4
16	Spectrogram 1	1	86.743665822	86.764042815	47402.6	57142.9
17	Spectrogram 1	1	99.498506866	99.516924533	50000.0	60714.3
18	Spectrogram 1	1	100.371860033	100.402033657	46753.2	54220.8
19	Spectrogram 1	1	116.512326631	116.533095489	43181.8	50974.0
20	Spectrogram 1	1	127.394365163	127.428849305	42532.5	52597.4
21	Spectrogram 1	1	134.912698440	134.960897865	46103.9	59090.9
22	Spectrogram 1	1	147.064265901	147.103060560	48701.3	60714.3
23	Spectrogram 1	1	147.497668865	147.547435751	51623.4	62987.0
24	Spectrogram 1	1	148.006195482	148.044206411	50324.7	62337.7
25	Spectrogram 1	1	149.106101027	149.122167503	48701.3	57467.5
26	Spectrogram 1	1	149.974082581	149.996027035	52272.7	59415.6
27	Spectrogram 1	1	151.547891950	151.583159822	48051.9	59090.9
28	Spectrogram 1	1	157.460029590	157.512147668	27272.7	38311.7
29	Spectrogram 1	1	270.667708243	270.692787619	50649.4	62337.7
30	Spectrogram 1	1	291.567083247	291.598040602	39610.4	52272.7
