Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	18.648253316	18.672245770	53521.1	84507.0
2	Spectrogram 1	1	110.804557012	110.836261326	60915.5	75704.2
3	Spectrogram 1	1	111.126741392	111.166586003	61267.6	73239.4
4	Spectrogram 1	1	113.509277913	113.570972795	38732.4	57042.3
5	Spectrogram 1	1	114.115944280	114.143364227	51760.6	65845.1
6	Spectrogram 1	1	114.228194689	114.259470566	54225.4	66901.4
7	Spectrogram 1	1	113.908580896	113.943284266	53521.1	66197.2
8	Spectrogram 1	1	117.475744893	117.517303250	38732.4	57746.5
9	Spectrogram 1	1	117.788075230	117.831775771	44014.1	58450.7
10	Spectrogram 1	1	118.104261530	118.126111800	49647.9	60211.3
11	Spectrogram 1	1	126.969473761	127.004605569	40845.1	55281.7
12	Spectrogram 1	1	138.585248635	138.604099849	50352.1	66197.2
13	Spectrogram 1	1	141.775387996	141.812233550	44366.2	61267.6
14	Spectrogram 1	1	142.118137337	142.148984778	39788.7	59859.2
15	Spectrogram 1	1	141.483194150	141.510614097	42957.7	63380.3
16	Spectrogram 1	1	142.470740590	142.505872398	41901.4	59859.2
17	Spectrogram 1	1	153.509411228	153.546685219	48943.7	63028.2
18	Spectrogram 1	1	153.886007099	153.920282033	55281.7	66197.2
19	Spectrogram 1	1	154.126360075	154.168775306	54225.4	75000.0
20	Spectrogram 1	1	156.946330311	156.975464005	55281.7	71126.8
21	Spectrogram 1	1	170.440372000	170.481501921	56338.0	73239.4
22	Spectrogram 1	1	176.620999690	176.653989314	46831.0	58450.7
23	Spectrogram 1	1	185.541480286	185.582610207	43309.9	55633.8
24	Spectrogram 1	1	190.444081436	190.472358257	36971.8	49647.9
25	Spectrogram 1	1	190.297556093	190.313836686	40140.8	71126.8
26	Spectrogram 1	1	191.307809841	191.338228845	31338.0	44366.2
27	Spectrogram 1	1	266.032739678	266.054589948	54972.0	65476.2
28	Spectrogram 1	1	266.825776031	266.866477516	31862.7	46218.5
29	Spectrogram 1	1	281.691243620	281.713950764	64775.9	78431.4
