Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
2	Spectrogram 1	1	2.881057516	2.893301653	23883.4	31327.5
3	Spectrogram 1	1	2.905916826	2.918160963	24503.7	33808.9
4	Spectrogram 1	1	2.923540963	2.945988549	26364.8	33808.9
5	Spectrogram 1	1	3.084579586	3.127063034	27915.6	44044.7
6	Spectrogram 1	1	5.331382342	5.414123031	43734.5	54280.4
7	Spectrogram 1	1	5.550447171	5.566772688	46836.2	56451.6
8	Spectrogram 1	1	6.295484276	6.383419447	40322.6	57382.1
9	Spectrogram 1	1	6.585396826	6.608029929	42493.8	54590.6
10	Spectrogram 1	1	6.839171309	6.855311309	52419.4	60173.7
11	Spectrogram 1	1	7.069546481	7.090509929	45595.5	53970.2
12	Spectrogram 1	1	7.314891310	7.339379585	48697.3	58312.7
13	Spectrogram 1	1	9.386129929	9.417853377	44044.7	54590.6
14	Spectrogram 1	1	9.562514757	9.602957515	44665.0	54280.4
15	Spectrogram 1	1	9.945302344	9.987600274	40322.6	59553.3
16	Spectrogram 1	1	10.275460274	10.301989239	42183.6	61104.2
18	Spectrogram 1	1	10.455758087	10.510300155	43114.1	54280.4
19	Spectrogram 1	1	10.873263034	10.913705792	45595.5	55831.3
20	Spectrogram 1	1	11.060635446	11.098295445	44044.7	57692.3
21	Spectrogram 1	1	15.319619585	15.327782344	47766.7	60794.0
22	Spectrogram 1	1	17.464729241	17.508511310	43114.1	54280.4
23	Spectrogram 1	1	18.376692591	18.389864315	42804.0	52729.5
24	Spectrogram 1	1	18.128470525	18.138673973	43424.3	54590.6
25	Spectrogram 1	1	18.479283625	18.544029141	29776.7	37841.2
26	Spectrogram 1	1	18.474645694	18.481880866	52419.4	58312.7
27	Spectrogram 1	1	18.541617417	18.547368451	42804.0	52109.2
28	Spectrogram 1	1	18.872956771	18.893178150	38461.5	53039.7
29	Spectrogram 1	1	19.043261597	19.060143665	41873.4	54280.4
30	Spectrogram 1	1	19.200023664	19.211154698	45285.4	57072.0
31	Spectrogram 1	1	20.145605032	20.187902963	32878.4	57692.3
32	Spectrogram 1	1	20.506529241	20.555320274	43734.5	59553.3
33	Spectrogram 1	1	21.472306481	21.507183722	53660.0	77853.6
34	Spectrogram 1	1	21.611629852	21.647991230	38771.7	62344.9
35	Spectrogram 1	1	21.787314664	21.842969836	41253.1	60794.0
36	Spectrogram 1	1	22.194307862	22.211004413	41873.4	51488.8
37	Spectrogram 1	1	22.660949240	22.689333378	58002.5	77233.3
